"Exposure ID","Exposure Name","Phenotype Name","Estimate","Standard Error","P-value","FDR"
"URXP12","1-benzo[a] anthracene (ng/L)","LBXGLU",0.0447398610377925,0.0288179190395283,0.135483706801951,0.392550029998947
"URXP13","6-chrysene (ng/L)","LBXGLU",0.0336277542798005,0.0272676289879371,0.231109898620231,0.493450864621574
"URXP14","3-benzo[c] phenanthrene (ng/L)","LBXGLU",-0.0321118136186875,0.032704058660645,0.337331445568995,0.608081281699581
"URXP15","3-chrysene (ng/L)","LBXGLU",0.0010189834267849,0.0190322238961179,0.957807806272009,0.982685931110243
"URXP16","3-benz[a] anthracene (ng/L)","LBXGLU",0.00514314126469062,0.0275634214889421,0.853770586110028,0.961691227817576
"URXP17","9-fluorene (ng/L)","LBXGLU",0.0494428618258441,0.0341127097189914,0.190503228989752,0.463069387390473
"URXP19","4-phenanthrene (ng/L)","LBXGLU",-0.00255235979177814,0.0329820538731325,0.940481738820953,0.982685931110243
"URXP20","1-chrysene (ng/L)","LBXGLU",0.0312466472799464,0.0394385265100462,0.454201266142798,0.710532673767941
"URXP21","2-chrysene (ng/L)","LBXGLU",-0.000841414946735171,0.0257590316361105,0.974853733266982,0.987788293860347
"URXP22","4-chrysene (ng/L)","LBXGLU",-0.0183571907599196,0.0366600495977053,0.631911383746976,0.811723566114001
"URXP24","3-benzo(a) pyrene (ng/L)","LBXGLU",0.0186547738590542,0.0272612063530243,0.515795490639385,0.72764006715199
"LBXSEL","Selenium(ug/L)","LBXGLU",NA,NA,NA,NA
"LBXIRN","Iron, Frozen Serum (ug/dL)","LBXGLU",-0.053012692557933,0.0154465432741273,0.00250259798776797,0.0397821466829081
"LBXVIE","a-Tocopherol(ug/dL)","LBXGLU",0.00695616268699155,0.0192696326253893,0.721712366997058,0.861334537215338
"LBXALC","a-Carotene(ug/dL)","LBXGLU",-0.082731155794068,0.0251936301113407,0.0134163887008221,0.117766078596105
"LBXBEC","trans-b-carotene(ug/dL)","LBXGLU",-0.108027789747054,0.0199997378449929,0.00100690595335651,0.0265684738080836
"LBXCBC","cis-b-carotene(ug/dL)","LBXGLU",-0.0913486010675255,0.0175195481338775,0.00123376703074457,0.0278478844082346
"LBXCRY","b-cryptoxanthin(ug/dL)","LBXGLU",-0.0887355280988046,0.0193381298055241,0.00251785738499418,0.0397821466829081
"LBXGTC","g-tocopherol(ug/dL)","LBXGLU",0.154457923361506,0.0157766776835475,2.80449714960271e-09,4.43110549637228e-07
"LBXLUZ","Combined Lutein/zeaxanthin (ug/dL)","LBXGLU",-0.0840833206521213,0.0191436938131566,0.00318679728725098,0.0457739973986959
"LBXLYC","trans-lycopene(ug/dL)","LBXGLU",-0.0420055702722588,0.0136345302146317,0.0177948054021769,0.140578962677197
"LBXRPL","Retinyl palmitate(ug/dL)","LBXGLU",0.00745127582501284,0.0184617998379364,0.690583425694023,0.833581170280486
"LBXRST","Retinyl stearate(ug/dL)","LBXGLU",0.0275843279218344,0.020987687269488,0.202917339107673,0.466278254513564
"LBXVIA","Retinol(ug/dL)","LBXGLU",-0.0126238123130722,0.0170110260467064,0.466249025719346,0.716295242609328
"URX14D","2,5-dichlorophenol (ug/L) result","LBXGLU",-0.00344309721944045,0.0410227341388798,0.933905905112727,0.982685931110243
"URX1TB","2,4,5-trichlorophenol (ug/L) result","LBXGLU",-0.0358101159371437,0.0162291661637344,0.0386175440359352,0.185520976328711
"URX3TB","2,4,6-trichlorophenol (ug/L) result","LBXGLU",0.0132945021175427,0.0271474876849198,0.629413043766109,0.811723566114001
"URXCBF","Carbofuranphenol (ug/L) result","LBXGLU",-0.00486954782573747,0.028146993150835,0.864304774367695,0.961691227817576
"URXPCP","Pentachlorophenol (ug/L) result","LBXGLU",0.0108079073538679,0.0327620665360526,0.744750534523562,0.878138689960618
"URXPPX","2-isopropoxyphenol (ug/L) result","LBXGLU",-0.019512054098294,0.0285158480216611,0.501297554507576,0.7200455782927
"URXOPP","O-Phenyl phenol (ug/L) result","LBXGLU",-0.0356983429807768,0.0268449922255454,0.197850157188425,0.466278254513564
