"","Exposure ID","Exposure Name","Phenotype Name","Estimate","Standard Error","P-value","FDR"
"114","URXP03","3-fluorene (ng/L)","LBXGLU",-0.0148649894014502,0.0356539622420655,0.679913266341385,0.834755210984411
"115","URXP04","2-fluorene (ng/L)","LBXGLU",0.0374566915920024,0.0365813196510386,0.31463402060647,0.496628208996487
"116","URXP05","3-phenanthrene (ng/L)","LBXGLU",0.0345478389118566,0.0436921045765784,0.435759083833516,0.615414144712247
"117","URXP06","1-phenanthrene (ng/L)","LBXGLU",0.0573381118533988,0.0463402455611392,0.226241717588336,0.398474853067006
"118","URXP07","2-phenanthrene (ng/L)","LBXGLU",0.0796223753026482,0.0379146834341455,0.0448593717311881,0.107796400727183
"119","URXP08","1-benzo[c] phenanthrene (ng/L)","LBXGLU",-0.0254108756603979,0.0373445357356433,0.501811441586491,0.673263684128543
"120","URXP10","1-pyrene (ng/L)","LBXGLU",-0.0342412729481023,0.0430536997360866,0.43312063960177,0.615414144712247
"121","URXP11","2-benzo[c] phenanthrene (ng/L)","LBXGLU",-0.0629850799882518,0.0734819905230381,0.398639233215535,0.599821649978515
"122","URXP12","1-benzo[a] anthracene (ng/L)","LBXGLU",0.243583938866327,0.0776743838431293,0.00400196244958832,0.0131031287708725
"123","URXP13","6-chrysene (ng/L)","LBXGLU",0.0627191197748857,0.0650950858565081,0.343544642654579,0.535066432904549
"124","URXP14","3-benzo[c] phenanthrene (ng/L)","LBXGLU",-0.0462663016151994,0.173971290991697,0.792232244169144,0.906966708057679
"125","URXP15","3-chrysene (ng/L)","LBXGLU",0.0337335991482966,0.0788181567410432,0.671930525779933,0.833720742306077
"126","URXP16","3-benz[a] anthracene (ng/L)","LBXGLU",0.0578460638568706,0.115715467157078,0.621052151702899,0.787318082080053
"127","URXP17","9-fluorene (ng/L)","LBXGLU",0.134184674781665,0.0780974909671091,0.107791615284997,0.227535850756937
"128","URXP19","4-phenanthrene (ng/L)","LBXGLU",-0.00958906013019144,0.0489884163350513,0.847625204636865,0.932139168410529
"129","URXP20","1-chrysene (ng/L)","LBXGLU",0.0846947366975406,0.0671314851360321,0.227699916038289,0.398474853067006
"130","URXP21","2-chrysene (ng/L)","LBXGLU",-0.00314530751260793,0.0788608328189789,0.968748579551919,0.968748579551919
"131","URXP22","4-chrysene (ng/L)","LBXGLU",-0.0392337951784648,0.168738719859792,0.819504971286937,0.916982766355435
"132","URXP24","3-benzo(a) pyrene (ng/L)","LBXGLU",0.015166021316525,0.0570672885652857,0.794300036249272,0.906966708057679
"133","LBXSEL","Selenium(ug/L)","LBXGLU",NA,NA,NA,NA
"134","LBXIRN","Iron, Frozen Serum (ug/dL)","LBXGLU",-0.119120620531841,0.0816265204986708,0.155601094076996,0.301828628269836
"135","LBXVIE","a-Tocopherol(ug/dL)","LBXGLU",0.943683230712014,0.0945323446253683,1.0000833256626e-10,2.30019164902398e-09
"136","LBXALC","a-Carotene(ug/dL)","LBXGLU",-0.0930562052009314,0.058026159386208,0.131096221754617,0.263831146281167
"137","LBXBEC","trans-b-carotene(ug/dL)","LBXGLU",-0.192987406820027,0.0625699958032008,0.00807974405345108,0.023981772309237
"138","LBXCBC","cis-b-carotene(ug/dL)","LBXGLU",-0.139779848079707,0.0660218040773064,0.0526316877167173,0.122879114388761
"139","LBXCRY","b-cryptoxanthin(ug/dL)","LBXGLU",-0.273158125287096,0.0704628372467074,0.00167719210620256,0.00587017237170897
"140","LBXGTC","g-tocopherol(ug/dL)","LBXGLU",0.579881872065216,0.0604469746129345,2.38785921390838e-10,4.80556666799062e-09
"141","LBXLUZ","Combined Lutein/zeaxanthin (ug/dL)","LBXGLU",-0.0150529394990001,0.0972566245966629,0.879207547546234,0.943682767699624
"142","LBXLYC","trans-lycopene(ug/dL)","LBXGLU",-0.408904287925413,0.0742863274339028,7.76120329959469e-05,0.000337717224658039
"143","LBXRPL","Retinyl palmitate(ug/dL)","LBXGLU",0.0877818457478337,0.045458673357129,0.0636616285700907,0.1443594676026
"144","LBXRST","Retinyl stearate(ug/dL)","LBXGLU",0.615164988953215,0.13492264943769,9.24216749543752e-05,0.00037199724169136
"145","LBXVIA","Retinol(ug/dL)","LBXGLU",0.885680071240973,0.121114136766492,5.81263882306243e-08,5.19908250285028e-07
"146","URX14D","2,5-dichlorophenol (ug/L) result","LBXGLU",-0.00314864901367113,0.0280164837414484,0.911319536548314,0.954181953390307
"147","URX1TB","2,4,5-trichlorophenol (ug/L) result","LBXGLU",-0.0778187664048638,0.0592914943824914,0.200016318076975,0.374449153609221
"148","URX3TB","2,4,6-trichlorophenol (ug/L) result","LBXGLU",-0.0126543929569633,0.0551420712984174,0.820158499100513,0.916982766355435
"149","URXCBF","Carbofuranphenol (ug/L) result","LBXGLU",0.167016762872948,0.141719918272403,0.248516414939813,0.425380333028759
"150","URXPCP","Pentachlorophenol (ug/L) result","LBXGLU",0.0628580807371184,0.145280322559882,0.6685707134554,0.833720742306077
"151","URXPPX","2-isopropoxyphenol (ug/L) result","LBXGLU",-0.336623912925945,0.137192701380745,0.0206241386190226,0.0553414386277107
"152","URXOPP","O-Phenyl phenol (ug/L) result","LBXGLU",-0.129377260289441,0.071923927896762,0.0828379986947465,0.180228618781813
"153","URXDPY","diethylaminomethylpyrimidinol/one (ug/L)","LBXGLU",0.0601796005919846,0.0540072463093939,0.283920373094561,0.461729091598225
"154","URXMET","Metolachlor mercapturate (ug/L) result","LBXGLU",-0.336175891944483,0.413515329995072,0.429843869280282,0.615414144712247
"155","URXTCC","dichlorovnl-dimeth prop carboacid (ug/L)","LBXGLU",-0.00589888025783153,0.0732663904259604,0.936402165438935,0.954181953390307
"156","LBXSPH","Phosphorus (mg/dL)","LBXGLU",-0.840777908317249,0.268677400891305,0.00406929464933928,0.0131031287708725
"157","URXDAZ","Daidzein (ng/mL)","LBXGLU",-0.00218630441994449,0.0323477270761794,0.946594278707302,0.955618396869302
"158","URXDMA","o-Desmethylangolensin (O-DMA) (ng/mL)","LBXGLU",-0.00202996153763553,0.0242859256648944,0.933980394258893,0.954181953390307
"159","URXEQU","Equol (ng/mL)","LBXGLU",-0.0298565940251958,0.0370662028413308,0.427322653968736,0.615414144712247
"160","URXETD","Enterodiol (ng/mL)","LBXGLU",0.00349735674285404,0.0385532394338189,0.928364912550147,0.954181953390307
"161","URXETL","Enterolactone (ng/mL)","LBXGLU",0.0205892883421897,0.0287153333796468,0.479304624495971,0.664975002881012
"162","URXGNS","Genistein (ng/mL)","LBXGLU",-0.0226415781607142,0.0237687897549673,0.348956369285576,0.535066432904549
